"Start Year","IsCovidYear","is completed","total words","depression percent","anxiety percent","loneliness percent","distress percent","any word we want percent","depression num mentions","anxiety num mentions","loneliness num mentions","distress num mentions","any word we want num mentions","depression is mentioned","anxiety is mentioned","loneliness is mentioned","distress is mentioned","any word we want is mentioned"
"2020",0,0,246,"0.4065040650406504%","0.4065040650406504%","0.0%","0.0%","0.8130081300813008%",1,1,0,0,2,1,1,0,0,1
"2015",0,0,93,"2.150537634408602%","0.0%","0.0%","0.0%","2.150537634408602%",2,0,0,0,2,1,0,0,0,1
"2008",0,1,601,"0.33277870216306155%","0.0%","0.0%","0.0%","0.33277870216306155%",2,0,0,0,2,1,0,0,0,1
"2016",0,1,1879,"0.0%","0.0%","0.0%","0.10643959552953698%","0.10643959552953698%",0,0,0,2,2,0,0,0,1,1
"2021",1,1,563,"0.0%","0.0%","0.0%","0.3552397868561279%","0.3552397868561279%",0,0,0,2,2,0,0,0,1,1
"2021",1,0,171,"1.1695906432748537%","0.0%","0.0%","0.0%","1.1695906432748537%",2,0,0,0,2,1,0,0,0,1
"2016",0,1,130,"1.5384615384615385%","0.0%","0.0%","0.0%","1.5384615384615385%",2,0,0,0,2,1,0,0,0,1
"2018",0,0,431,"0.46403712296983757%","0.0%","0.0%","0.0%","0.46403712296983757%",2,0,0,0,2,1,0,0,0,1
"2016",0,1,852,"0.2347417840375587%","0.0%","0.0%","0.0%","0.2347417840375587%",2,0,0,0,2,1,0,0,0,1
"2016",0,0,362,"0.27624309392265195%","0.27624309392265195%","0.0%","0.0%","0.5524861878453039%",1,1,0,0,2,1,1,0,0,1
"2021",1,1,346,"0.0%","0.0%","0.0%","0.5780346820809249%","0.5780346820809249%",0,0,0,2,2,0,0,0,1,1
"2021",1,1,64,"0.0%","1.5625%","0.0%","1.5625%","3.125%",0,1,0,1,2,0,1,0,1,1
"2018",0,0,226,"0.8849557522123894%","0.0%","0.0%","0.0%","0.8849557522123894%",2,0,0,0,2,1,0,0,0,1
"2021",1,0,187,"0.5347593582887701%","0.5347593582887701%","0.0%","0.0%","1.0695187165775402%",1,1,0,0,2,1,1,0,0,1
"2004",0,1,305,"0.6557377049180327%","0.0%","0.0%","0.0%","0.6557377049180327%",2,0,0,0,2,1,0,0,0,1
"2017",0,0,439,"0.0%","0.45558086560364464%","0.0%","0.0%","0.45558086560364464%",0,2,0,0,2,0,1,0,0,1
"2022",1,0,609,"0.0%","0.3284072249589491%","0.0%","0.0%","0.3284072249589491%",0,2,0,0,2,0,1,0,0,1
"2015",0,0,267,"0.37453183520599254%","0.0%","0.0%","0.37453183520599254%","0.7490636704119851%",1,0,0,1,2,1,0,0,1,1
"2022",1,0,210,"0.0%","0.9523809523809523%","0.0%","0.0%","0.9523809523809523%",0,2,0,0,2,0,1,0,0,1
"2011",0,1,239,"0.41841004184100417%","0.41841004184100417%","0.0%","0.0%","0.8368200836820083%",1,1,0,0,2,1,1,0,0,1
"2023",1,0,930,"0.10752688172043011%","0.0%","0.10752688172043011%","0.0%","0.21505376344086022%",1,0,1,0,2,1,0,1,0,1
"2016",0,1,490,"0.20408163265306123%","0.0%","0.0%","0.20408163265306123%","0.40816326530612246%",1,0,0,1,2,1,0,0,1,1
"2017",0,0,631,"0.15847860538827258%","0.15847860538827258%","0.0%","0.0%","0.31695721077654515%",1,1,0,0,2,1,1,0,0,1
"2019",0,0,485,"0.20618556701030927%","0.20618556701030927%","0.0%","0.0%","0.41237113402061853%",1,1,0,0,2,1,1,0,0,1
"2020",0,0,305,"0.6557377049180327%","0.0%","0.0%","0.0%","0.6557377049180327%",2,0,0,0,2,1,0,0,0,1
"2017",0,0,476,"0.21008403361344538%","0.21008403361344538%","0.0%","0.0%","0.42016806722689076%",1,1,0,0,2,1,1,0,0,1
"2022",1,0,77,"0.0%","2.5974025974025974%","0.0%","0.0%","2.5974025974025974%",0,2,0,0,2,0,1,0,0,1
"2017",0,1,700,"0.14285714285714285%","0.14285714285714285%","0.0%","0.0%","0.2857142857142857%",1,1,0,0,2,1,1,0,0,1
"2020",0,0,1310,"0.15267175572519084%","0.0%","0.0%","0.0%","0.15267175572519084%",2,0,0,0,2,1,0,0,0,1
"2021",1,0,369,"0.0%","0.0%","0.0%","0.5420054200542005%","0.5420054200542005%",0,0,0,2,2,0,0,0,1,1
"2021",1,0,299,"0.33444816053511706%","0.0%","0.0%","0.33444816053511706%","0.6688963210702341%",1,0,0,1,2,1,0,0,1,1
"2021",1,0,262,"0.0%","0.0%","0.0%","0.7633587786259542%","0.7633587786259542%",0,0,0,2,2,0,0,0,1,1
"2022",1,0,271,"0.0%","0.0%","0.0%","0.7380073800738007%","0.7380073800738007%",0,0,0,2,2,0,0,0,1,1
"2020",0,0,1223,"0.0%","0.08176614881439084%","0.0%","0.0%","0.08176614881439084%",0,1,0,0,1,0,1,0,0,1
"2005",0,1,41,"2.4390243902439024%","0.0%","0.0%","0.0%","2.4390243902439024%",1,0,0,0,1,1,0,0,0,1
"2013",0,0,208,"0.4807692307692308%","0.0%","0.0%","0.0%","0.4807692307692308%",1,0,0,0,1,1,0,0,0,1
"2022",1,0,705,"0.0%","0.0%","0.0%","0.14184397163120568%","0.14184397163120568%",0,0,0,1,1,0,0,0,1,1
"2023",1,0,375,"0.26666666666666666%","0.0%","0.0%","0.0%","0.26666666666666666%",1,0,0,0,1,1,0,0,0,1
"2017",0,0,1635,"0.06116207951070336%","0.0%","0.0%","0.0%","0.06116207951070336%",1,0,0,0,1,1,0,0,0,1
"2017",0,1,298,"0.33557046979865773%","0.0%","0.0%","0.0%","0.33557046979865773%",1,0,0,0,1,1,0,0,0,1
"2013",0,1,433,"0.23094688221709006%","0.0%","0.0%","0.0%","0.23094688221709006%",1,0,0,0,1,1,0,0,0,1
"2017",0,0,615,"0.16260162601626016%","0.0%","0.0%","0.0%","0.16260162601626016%",1,0,0,0,1,1,0,0,0,1
"2016",0,0,392,"0.25510204081632654%","0.0%","0.0%","0.0%","0.25510204081632654%",1,0,0,0,1,1,0,0,0,1
"2021",1,0,106,"0.0%","0.0%","0.0%","0.9433962264150944%","0.9433962264150944%",0,0,0,1,1,0,0,0,1,1
"2017",0,0,317,"0.0%","0.0%","0.0%","0.31545741324921134%","0.31545741324921134%",0,0,0,1,1,0,0,0,1,1
"2021",1,1,1082,"0.0%","0.09242144177449169%","0.0%","0.0%","0.09242144177449169%",0,1,0,0,1,0,1,0,0,1
"2021",1,0,104,"0.0%","0.9615384615384616%","0.0%","0.0%","0.9615384615384616%",0,1,0,0,1,0,1,0,0,1
"2009",0,1,975,"0.10256410256410256%","0.0%","0.0%","0.0%","0.10256410256410256%",1,0,0,0,1,1,0,0,0,1
"2009",0,1,489,"0.20449897750511248%","0.0%","0.0%","0.0%","0.20449897750511248%",1,0,0,0,1,1,0,0,0,1
"2020",0,0,728,"0.0%","0.0%","0.0%","0.13736263736263737%","0.13736263736263737%",0,0,0,1,1,0,0,0,1,1
"2021",1,1,104,"0.0%","0.0%","0.9615384615384616%","0.0%","0.9615384615384616%",0,0,1,0,1,0,0,1,0,1
"2016",0,0,85,"1.1764705882352942%","0.0%","0.0%","0.0%","1.1764705882352942%",1,0,0,0,1,1,0,0,0,1
"2020",0,0,24,"0.0%","4.166666666666667%","0.0%","0.0%","4.166666666666667%",0,1,0,0,1,0,1,0,0,1
"2017",0,0,968,"0.0%","0.0%","0.0%","0.10330578512396695%","0.10330578512396695%",0,0,0,1,1,0,0,0,1,1
"2005",0,1,539,"0.18552875695732837%","0.0%","0.0%","0.0%","0.18552875695732837%",1,0,0,0,1,1,0,0,0,1
"2000",0,1,256,"0.390625%","0.0%","0.0%","0.0%","0.390625%",1,0,0,0,1,1,0,0,0,1
"2022",1,0,537,"0.186219739292365%","0.0%","0.0%","0.0%","0.186219739292365%",1,0,0,0,1,1,0,0,0,1
"2018",0,0,819,"0.0%","0.1221001221001221%","0.0%","0.0%","0.1221001221001221%",0,1,0,0,1,0,1,0,0,1
"2021",1,1,264,"0.3787878787878788%","0.0%","0.0%","0.0%","0.3787878787878788%",1,0,0,0,1,1,0,0,0,1
"2018",0,0,720,"0.1388888888888889%","0.0%","0.0%","0.0%","0.1388888888888889%",1,0,0,0,1,1,0,0,0,1
"2021",1,0,473,"0.21141649048625794%","0.0%","0.0%","0.0%","0.21141649048625794%",1,0,0,0,1,1,0,0,0,1
"2015",0,1,406,"0.24630541871921183%","0.0%","0.0%","0.0%","0.24630541871921183%",1,0,0,0,1,1,0,0,0,1
"2023",1,0,696,"0.14367816091954022%","0.0%","0.0%","0.0%","0.14367816091954022%",1,0,0,0,1,1,0,0,0,1
"2006",0,1,215,"0.0%","0.0%","0.0%","0.46511627906976744%","0.46511627906976744%",0,0,0,1,1,0,0,0,1,1
"2017",0,0,311,"0.3215434083601286%","0.0%","0.0%","0.0%","0.3215434083601286%",1,0,0,0,1,1,0,0,0,1
"2015",0,1,775,"0.12903225806451613%","0.0%","0.0%","0.0%","0.12903225806451613%",1,0,0,0,1,1,0,0,0,1
"2016",0,0,1410,"0.07092198581560284%","0.0%","0.0%","0.0%","0.07092198581560284%",1,0,0,0,1,1,0,0,0,1
"2018",0,1,798,"0.12531328320802004%","0.0%","0.0%","0.0%","0.12531328320802004%",1,0,0,0,1,1,0,0,0,1
"2019",0,0,531,"0.18832391713747645%","0.0%","0.0%","0.0%","0.18832391713747645%",1,0,0,0,1,1,0,0,0,1
"2021",1,0,785,"0.12738853503184713%","0.0%","0.0%","0.0%","0.12738853503184713%",1,0,0,0,1,1,0,0,0,1
"2014",0,0,2074,"0.048216007714561235%","0.0%","0.0%","0.0%","0.048216007714561235%",1,0,0,0,1,1,0,0,0,1
"2010",0,0,59,"1.694915254237288%","0.0%","0.0%","0.0%","1.694915254237288%",1,0,0,0,1,1,0,0,0,1
"2005",0,1,259,"0.3861003861003861%","0.0%","0.0%","0.0%","0.3861003861003861%",1,0,0,0,1,1,0,0,0,1
"2018",0,1,296,"0.0%","0.33783783783783783%","0.0%","0.0%","0.33783783783783783%",0,1,0,0,1,0,1,0,0,1
"2011",0,1,356,"0.2808988764044944%","0.0%","0.0%","0.0%","0.2808988764044944%",1,0,0,0,1,1,0,0,0,1
"2020",0,0,512,"0.1953125%","0.0%","0.0%","0.0%","0.1953125%",1,0,0,0,1,1,0,0,0,1
"2022",1,0,865,"0.11560693641618497%","0.0%","0.0%","0.0%","0.11560693641618497%",1,0,0,0,1,1,0,0,0,1
